"city","county","state","total_penjualan","population","penjualan_perkapita"
"Clinton","Clinton","Iowa","13341335.599999823",26721,"499.2827963025457"
"Cherokee","Cherokee","Iowa","3135303.0000000177",6317,"496.327845496273"
"Mount Pleasant","Henry","Iowa","6058962.989999859",12247,"494.73038213441646"
"Boone","Boone","Iowa","8199035.040000054",16676,"491.6667690093394"
"Grinnell","Poweshiek","Iowa","5602366.369999902",11411,"490.96191131365265"
"Winterset","Madison","Iowa","4142366.1799999634",8457,"489.815085727802"
"Indianola","Warren","Iowa","9974261.809999961",20622,"483.6709247405746"
"Council Bluffs","Pottawattamie","Iowa","17613123.420000114",36914,"477.13938939157697"
"De Soto","Dallas","Iowa","505511.18000000005",1061,"476.44786050895516"
"Des Moines","Polk","Iowa","16915968.339999422",35795,"472.57908478835725"
"Decorah","Winneshiek","Iowa","6346255.249999911",13531,"469.01598181953"
"Charles City","Floyd","Iowa","4781812.269999987",10214,"468.1625484628912"
"Hampton","Franklin","Iowa","2475614.7000000468",5289,"468.0685762904121"
"Northwood","Worth","Iowa","1348507.1700000006",2906,"464.0423847212676"
"Newton","Jasper","Iowa","9514726.160000086",20610,"461.6558059194576"
"Fort Madison","Lee","Iowa","5723064.0799999405",12398,"461.61187933537497"
"Marengo","Iowa","Iowa","1623997.7699999993",3527,"460.4473405160197"
"Le Claire","Scott","Iowa","2570622.1600000067",5589,"459.9431311504691"
"Knoxville","Marion","Iowa","5438573.229999906",11940,"455.4918953098754"
"Lawler","Chickasaw","Iowa","382586.11999999965",842,"454.37781472684156"
"Burlington","Des Moines","Iowa","12918384.069999656",28735,"449.56965616844434"
"Oskaloosa","Mahaska","Iowa","6634203.990000125",14896,"445.36815185284036"
"Estherville","Emmet","Iowa","3040308.3899999512",6873,"442.3553601047471"
"Belmond","Wright","Iowa","1276503.059999999",2899,"440.32530527767966"
"Guttenberg","Clayton","Iowa","1338624.990000006",3068,"436.3184452412004"
"Pacific Junction","Mills","Iowa","516508.8799999987",1184,"436.2406081081086"
"Orange City","Sioux","Iowa","3110710.7500000084",7180,"433.2466225626724"
"Maquoketa","Jackson","Iowa","3630281.1800000267",8403,"432.02203736760896"
"Onawa","Monona","Iowa","1505306.440000006",3500,"430.0875542857044"
"Sutherland","O'Brien","Iowa","351945.66000000143",819,"429.726080586079"
"Cedar Rapids","Linn","Iowa","10536297.399999937",24848,"424.0299983902123"
"Riverside","Washington","Iowa","1287827.5600000026",3042,"423.3489677843502"
"Raymond","Black Hawk","Iowa","303189.2799999999",718,"422.2691922005557"
"Pella","Marion","Iowa","5820304.889999974",13785,"422.2201588683372"
