"city","county","state","total_penjualan","population","penjualan_perkapita"
"Crescent","Pottawattamie","Iowa","189862.86000000007",1673,"113.48646742378946"
"Lovilia","Monroe","Iowa","109338.59",974,"112.25727926078031"
"Slater","Story","Iowa","226810.07000000024",2026,"111.94968904244831"
"State Center","Marshall","Iowa","293032.4499999997",2619,"111.88715158457475"
"Albion","Marshall","Iowa","117554.18",1057,"111.21492904446534"
"Ackley","Hardin","Iowa","289648.39999999985",2638,"109.7984836997725"
"Sully","Jasper","Iowa","148026.96000000014",1360,"108.84335294117646"
"New Sharon","Mahaska","Iowa","230249.46000000025",2125,"108.35268705882353"
"Allerton","Wayne","Iowa","91038.9399999999",844,"107.86604265402848"
"Eddyville","Wapello","Iowa","203643.61000000004",1889,"107.8049814716783"
"Maxwell","Story","Iowa","196877.04999999996",1831,"107.52433096668473"
"Malvern","Mills","Iowa","172899.39000000033",1610,"107.39092546583872"
"Stanton","Montgomery","Iowa","116969.50000000009",1096,"106.723996350365"
"Rolfe","Pocahontas","Iowa","89412.93000000002",841,"106.3173959571939"
"New Hartford","Butler","Iowa","141138.00000000006",1332,"105.95945945945961"
"Arlington","Fayette","Iowa","78313.05000000006",742,"105.54319407008074"
"Griswold","Cass","Iowa","194112.29000000004",1840,"105.49580978260877"
"Latimer","Franklin","Iowa","103663.57",983,"105.45632756866728"
"Nichols","Muscatine","Iowa","84273.34000000001",801,"105.21016229712868"
"Grand Junction","Greene","Iowa","107159.63999999998",1040,"103.0381153846154"
"Wheatland","Clinton","Iowa","123794.73000000005",1202,"102.9906239600667"
"Earlham","Madison","Iowa","240806.61000000004",2367,"101.73494296577957"
"Redfield","Dallas","Iowa","137563.93000000005",1357,"101.37356669123065"
"Sheffield","Franklin","Iowa","151245.99000000005",1519,"99.56944700460818"
"Maynard","Fayette","Iowa","76422.70000000001",768,"99.5087239583334"
"Pleasantville","Marion","Iowa","273924.2999999997",2776,"98.67590057636875"
"What Cheer","Keokuk","Iowa","104252.7300000001",1059,"98.44450424929191"
